url,listing_id,breed,litter_name,sire_name,dam_name,breeder_name,breeder_url,kennel_name,location,county,date_born,date_available,puppies_available,males_available,females_available,price,kc_registered,health_tested,health_tests,microchipped,vaccinated,wormed,vet_checked,five_star_breeder,assured_breeder,licensed_breeder,description,image_url,raw_card_text
https://www.champdogs.co.uk/litter/76988,76988,Hungarian Vizsla,FACANVADASZ - Litter of Dual Purpose Hungarian Vizsla Puppies,Sh Ch Sargasbarna Rocket Man by Pirospont,Facanvadasz Bambi,FACANVADASZ,https://www.champdogs.co.uk/breeder/135867,,Somerset,,25th December 2025,,,,,,Yes,Parents Fully Health Tested,,Yes,,Yes,,,,,,,"Hungarian Vizsla
Sh Ch Sargasbarna Rocket Man by Pirospont x Facanvadasz Bambi
Somerset
25th December 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/76985,76985,Golden Retriever,Weaversmist - Litter of Working Golden Retriever Puppies,,Weaversmist Roisin Dubh,Weaversmist,https://www.champdogs.co.uk/breeder/255003,,Cheshire,,19th January 2026,,,,,,Yes,Yes,,Yes,,Yes,,,,,,,"Golden Retriever
Think Twice One Shot (ftw) x Weaversmist Roisin Dubh
Cheshire
19th January 2026
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/76984,76984,Hungarian Wirehaired Vizsla,Kellarwald - Litter of Dual Purpose Hungarian Wirehaired Vizsla Puppies,,Wilmarris Thyme,Kellarwald,https://www.champdogs.co.uk/breeder/394766,,Hampshire,,19th December 2025,,,,,,Yes,Parents Fully Health Tested,,,,,,,,,,,"Hungarian Wirehaired Vizsla
Zoldmali Iszap at Rylandson Imp Deu x Wilmarris Thyme
Hampshire
19th December 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/76983,76983,Whippet,Khabaray - Litter of Show Whippet Puppies,,Khabaray Olive D'champers,Khabaray,https://www.champdogs.co.uk/breeder/391779,,Lincolnshire,,29th December 2025,,,,,,,,,,,,,,,,,,"Whippet
Loroli Devil's Stone JW x Khabaray Olive D'champers
Lincolnshire
29th December 2025"
https://www.champdogs.co.uk/litter/76982,76982,Labrador Retriever,Litter of Dual Purpose Labrador Retriever Puppies,,Lixtonwood Saint Francis,sarah waterton,https://www.champdogs.co.uk/breeder/328843,,Devon,,9th January 2026,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Labrador Retriever
Penbok Duke of Bradridge x Lixtonwood Saint Francis
Devon
9th January 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/76980,76980,Miniature Long Haired Dachshund,Spencerdax - Litter of Dual Purpose Miniature Long Haired Dachshund Puppies,,Dachslicious Choco Doll,Spencerdax,https://www.champdogs.co.uk/breeder/492415,,Suffolk,,23rd December 2025,,,,,,,Yes,,,,,,,,Yes,,,"Miniature Long Haired Dachshund
Eldeen Cassius x Dachslicious Choco Doll
Suffolk
23rd December 2025
Sire Health Tested"
https://www.champdogs.co.uk/litter/76977,76977,Weimaraner,Stormdancer - Litter of Dual Purpose Weimaraner Puppies,,Stormdancer Flash Point,Stormdancer,https://www.champdogs.co.uk/breeder/2706,,East Sussex,,18th February 2026,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Weimaraner
Stormdancer Mint Chip (A.I) x Stormdancer Flash Point
East Sussex
18th February 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/76976,76976,Weimaraner,Stormdancer - Litter of Dual Purpose Weimaraner Puppies,,Sh Ch Rivertone Confetti Over Stormdancer,Stormdancer,https://www.champdogs.co.uk/breeder/2706,,East Sussex,,2nd February 2026,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Weimaraner
Stormdancer Mint Chip (A.I) x Sh Ch Rivertone Confetti Over Stormdancer
East Sussex
2nd February 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/76978,76978,Labrador Retriever,Exelby - Litter of Show Labrador Retriever Puppies,,Exelby Erin Water,Exelby,https://www.champdogs.co.uk/breeder/7065,,,,19th December 2025,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Labrador Retriever
Exelby Botis at Meadowline x Exelby Erin Water
Dumfriesshire
19th December 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/76973,76973,Labrador Retriever,northmeols - Litter of Working Labrador Retriever Puppies,,Jaycote Glimmer,northmeols,https://www.champdogs.co.uk/breeder/36533,,Lancashire,,11th November 2025,,,,,,,Yes,,,,,,,,,,,"Labrador Retriever
Greenbriar Khan x Jaycote Glimmer
Lancashire
11th November 2025
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/76971,76971,Staffordshire Bull Terrier,Bronseybull - Litter of Dual Purpose Staffordshire Bull Terrier Puppies,,Bronseybull Blossom,Bronseybull,https://www.champdogs.co.uk/breeder/389118,,Staffordshire,,8th January 2026,,,,,£500,,Parents Fully Health Tested,,Yes,,Yes,,,,,,,"Staffordshire Bull Terrier
A Twisted Bit of Mayhem x Bronseybull Blossom
Shropshire
8th January 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/76970,76970,Cocker Spaniel,Litter of Show Cocker Spaniel Puppies,,Lady Tallulah Belle,Anthony and Amelia Crafts,https://www.champdogs.co.uk/breeder/348709,,Surrey,,23rd January 2026,,,,,,,Parents Health Tested,,,,,,,,,,,"Cocker Spaniel
Charterwood Morgan of Lottswell x Lady Tallulah Belle
Surrey
23rd January 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/76867,76867,Cocker Spaniel,Litter of Working Cocker Spaniel Puppies,,Kenzduo Constantin Queen,Joshua Duffy and Lauren Chadwick,https://www.champdogs.co.uk/breeder/539863,,West Yorkshire,,27th November 2025,,,,,£1300,Yes,Parents Health Tested,,Yes,Yes,Yes,,,,,,,"Cocker Spaniel
Get On The Bus Gus of Sealsun x Kenzduo Constantin Queen
West Yorkshire
27th November 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/76963,76963,Labrador Retriever,Coppinschase - Litter of Working Labrador Retriever Puppies,,Dordonhall Wild Violet,Coppinschase,https://www.champdogs.co.uk/breeder/323234,,Warwickshire,,12th January 2026,,,,,,Yes,Yes,,Yes,,Yes,,,,,,,"Labrador Retriever
Arcklebear Dunclent x Dordonhall Wild Violet
Warwickshire
12th January 2026
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/76878,76878,Havanese,Alphapups - Litter of Show Havanese Puppies,Ch That's Boy Wonder at Lk Michigan,Alphapups Flufftail,Alphapups,https://www.champdogs.co.uk/breeder/412543,,Somerset,,17th January 2026,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Havanese
Am Ch That's Boy Wonder at Lk Michigan x Alphapups Flufftail
Somerset
17th January 2026
Parents Fully Health Tested"
