id,ad_id,title,breed,price,location,date_of_birth,age,ready_to_leave,litter_size,available_puppies,posted_date,posted_date_iso,last_updated,seller_name,member_since,verified_breeder,health_checked,hip_scored,elbow_scored,eye_tested,vaccinated,microchipped,wormed,kc_registered,original_breeder,viewable_with_mother,platform,url,scraped_at,error
31108,,🐶 Buyer’s Checklist for Gun Dogs,Springer Spaniels,1200,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,True,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/springer-spaniels-for-sale/springer-spaniel-puppies/31108,2026-01-24T17:03:41.426522,
31062,,🐶 Buyer’s Checklist for Gun Dogs,Cocker Spaniels,1500,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,True,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/cocker-spaniels-for-sale/cocker-spaniel-puppies/31062,2026-01-24T17:03:44.111356,
31096,,🐶 Buyer’s Checklist for Gun Dogs,Cocker Spaniels,3500,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/cocker-spaniels-for-sale/trained-cocker-spaniels/31096,2026-01-24T17:03:46.741310,
28822,,🐶 Buyer’s Checklist for Gun Dogs,Labradors,400,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,False,False,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/labradors-for-sale/labradors-at-stud/28822,2026-01-24T17:03:49.806347,
31083,,🐶 Buyer’s Checklist for Gun Dogs,Springer Spaniels,800,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,True,True,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/springer-spaniels-for-sale/springer-spaniel-puppies/31083,2026-01-24T17:03:52.334297,
31081,,🐶 Buyer’s Checklist for Gun Dogs,Springer Spaniels,2500,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,False,False,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/springer-spaniels-for-sale/part-traind-springer-spaniels/31081,2026-01-24T17:03:54.763541,
31080,,🐶 Buyer’s Checklist for Gun Dogs,,500,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,False,False,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/teckel/teckel-stud/31080,2026-01-24T17:03:57.484141,
31066,,🐶 Buyer’s Checklist for Gun Dogs,,1500,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,True,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/gwp/gwp-puppies/31066,2026-01-24T17:03:59.975649,
30908,,🐶 Buyer’s Checklist for Gun Dogs,Labradors,1500,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,True,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/labradors-for-sale/labrador-puppies-for-sale/30908,2026-01-24T17:04:02.646210,
30863,,🐶 Buyer’s Checklist for Gun Dogs,Labradors,1500,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,True,True,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/labradors-for-sale/labrador-puppies-for-sale/30863,2026-01-24T17:04:05.431258,
31139,,🐶 Buyer’s Checklist for Gun Dogs,Labradors,1000,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,True,False,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/labradors-for-sale/trained-labradors/31139,2026-01-24T17:04:08.390592,
31136,,🐶 Buyer’s Checklist for Gun Dogs,Springer Spaniels,1800,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/springer-spaniels-for-sale/part-traind-springer-spaniels/31136,2026-01-24T17:04:10.883601,
31135,,🐶 Buyer’s Checklist for Gun Dogs,Cocker Spaniels,150,,,,,,,,,,,,False,True,False,False,False,False,False,True,False,False,False,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/cocker-spaniels-for-sale/cocker-spaniel-at-stud/31135,2026-01-24T17:04:13.579912,
31133,,🐶 Buyer’s Checklist for Gun Dogs,Cocker Spaniels,1850,,,,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,gundogs_direct,https://gundogsdirect.co.uk/dogs-for-sale/cocker-spaniels-for-sale/part-trained-cocker-spaniels/31133,2026-01-24T17:04:16.118068,
