ad_id,ad_type,title,price,breed,location,age,ready_to_leave,litter_size,available,seller_name,seller_type,kc_registered,microchipped,vaccinated,boys,girls,created,reposted,url
480906123832,For Sale,KC REGISTERED Dachshund miniature,"£1,300",Dachshund Miniature Smooth Haired,"&nbsp;Nottingham. Sire :&nbsp;Scanterby Oliver&nbsp;Health Tested Dam :&nbsp;Mapletof Stella&nbsp;Health Tested Colours :&nbsp;Chocolate &amp; Tan Dapple, Blue &amp; Tan Piebald EXCEPTIONAL LITTER OF MINIATURE SMOOTH HAIRED KC REGISTERED PRA CLEAR MINI DACHSHUND PUPPIES, OUT OF MY BEAUTIFUL PIEBALD GIRL MOUSE, AND RICHARD A STUNNING CHAMPION SIRED CHOCOLATE DAPPLE AND TAN BOY. MOUSE AND RICHARD HAVE A VERY IMPRESSIVE PEDIGREE, MOUSE'S DAD IS THE FAMOUS LISEGO NOSA NEVSKIY FOR LODARGEO WITH RICHARD ALSO FROM CHAMPION LINES. WE HAVE BLUE &amp; Tan BOY 2 £1250 - available THIS LITTER HAS BEEN BRED TO THE UK BREED STANDARD, AND WILL BE TRUE EXAMPLES OF THE BREED, THEY HAVE EXCELLENT POTENTIAL AND WILL EQUALLY MAKE FANTASTIC PET'S. MOUSE HAS THE MOST FANTASTIC TEMPERAMENT AS HAS THE SIRE RICHARD. THEY ARE BOTH WELL LOVED AND ADORED FAMILY PETS. NO EXPENSE WILL BE SPARED ON THIS LITTER AND THEY WILL HAVE LOTS OF TIME, LOVE AND AFFECTION, THEY WILL BE REARED IN THE HEART OF OUR HOME, WILL BE EXTREMELY WELL SOCIALISED, MIXED WITH CATS AND CHILDREN AND USED TO ALL HOUSEHOLD NOISES, THEY WILL BE WORMED AT 2,4,6 AND 8 WEEKS, AND WILL HAVE A FULL VET CHECK, THEY WILL BE WEANED ONTO ACANA PUPPY FOOD. WE WILL START TO TOILET TRAIN AT 4 WEEKS SO BY THE TIME THEY LEAVE FOR THEIR FOREVER HOMES THEY SHOULD BE WELL ON THE WAY TO BEING HOUSETRAINED. THEY WILL LEAVE FOR THEIR NEW HOMES WITH THEIR FIVE GENERATION KC PEDIGREE, MICROCHIPPED, AND A PUPPY PACK INCLUDING A SUPPLY OF ACANA PUPPY FOOD, A PUPPY BLANKET WITH MUM AND SIBLINGS SCENT, TOYS, PUPPY PADS, 5 WEEKS FREE INSURANCE COURTESY OF KENNEL CLUB, AND A LIFETIME OF SUPPORT SHOULD THEIR NEW OWNERS REQUIRE IT. £500 DEPOSIT REQUIRED ONCE - non refundable. For more images and information please contact us via the number provided. PIC'S ARE MOUSE AND HER PUPPIES. PICS OF DAD ALSO AVAILABLE. "">",12½ weeks,,4,4,Hayley,Private Advert,Yes,False,False,False,False,,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-smooth-haired/area/480906123832_kc-registered-dachshund-miniature
635081322404,For Sale,F1b cockapoo puppies. ONLY 2 BOYS LEFT. READY FOR VIEWINGS NOW,"£1,800",Cockerpoo,West Sussex,"6 weeks, 5 days",,6,6,Stephanie,Private Advert,No,False,False,False,False,2026-01-19,,https://www.foreverpuppy.co.uk/for-sale/cockerpoo/west-sussex/635081322404_f1b-cockapoo-puppies-only-2-boys-left-ready-for-viewings-now
365993891479,For Sale,Gorgeous Golden Bernadoodles 🐾,"£2,000",Bernedoodle,Tyne And Wear,5½ weeks,,9,9,,Private Advert,No,True,True,True,True,2025-11-05,,https://www.foreverpuppy.co.uk/for-sale/bernedoodle/tyne-and-wear/365993891479_gorgeous-golden-bernadoodles
460236757439,For Sale,Chihuahua/ Jack Russell mix,£500,Chihuahua Smooth Coat,Essex,"10 weeks, 5 days",,5,5,Debbie,Private Advert,No,False,False,False,False,2026-01-18,,https://www.foreverpuppy.co.uk/for-sale/chihuahua-smooth-coat/essex/460236757439_chihuahua-jack-russell-mix
793156059862,For Sale,Sprocker spaniels for sale,£650,Mixed Breed,,"6 weeks, 5 days",,11,11,Helena,Private Advert,No,False,False,False,False,2026-01-18,,https://www.foreverpuppy.co.uk/for-sale/mixed-breed/area/793156059862_sprocker-spaniels-for-sale
506963521484,For Sale,Health tested F1 Cavapoo puppies - KC parents/DNA tested,"£1,550",Cavapoo,Surrey,12 weeks,,5,5,Tallulah,Private Advert,No,True,True,True,True,2025-12-21,,https://www.foreverpuppy.co.uk/for-sale/cavapoo/surrey/506963521484_health-tested-f1-cavapoo-puppies-kc-parents-dna-tested
618401610290,For Sale,,£950,Goldador,,6 weeks,,3,3,Susan,Private Advert,No,True,True,False,True,2025-11-11,,https://www.foreverpuppy.co.uk/for-sale/goldador/area/618401610290_goldadors
845479476153,For Sale,Miniature toy poodles for sale,"£1,300",Poodle Toy,Greater London,"10 weeks, 2 days",,5,5,Mary,Private Advert,No,True,True,True,True,2025-12-03,,https://www.foreverpuppy.co.uk/for-sale/poodle-toy/greater-london/845479476153_miniature-toy-poodles-for-sale
727478751309,For Sale,True Miniature Long haired Dachshunds,"£1,350",Dachshund Miniature Long Haired,Worcestershire,7 weeks,,3,3,Hetty,Private Advert,No,False,False,False,False,2026-01-18,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-long-haired/worcestershire/727478751309_true-miniature-long-haired-dachshunds
469188044330,For Sale,Bearded Collie Puppies,"£1,500",Bearded Collie,Powys,"11 weeks, 2 days",,5,5,Violet,Private Advert,No,True,True,True,True,2026-01-11,,https://www.foreverpuppy.co.uk/for-sale/bearded-collie/powys/469188044330_bearded-collie-puppies
