title,price,location,url,breed,sex,age,ready_to_leave,kc_registered,microchipped,neutered,vaccinations,health_checks,seller_type,views,created,seller_name,membership_level,member_since
BeautifulMini male dachshund puppy,£750,"Holyhead, North Wales",https://www.preloved.co.uk/adverts/show/122993144/beautifulmini-male-dachshund-puppy,Mini Dachshund,Male,2 months,at 9 weeks,No,Yes,No,1st If needed,Yes,Private Seller,268.0,55 days ago,Kiki,,December 2020
Yorkie poo pups for sale,£600,"Grimsby, South Humberside",https://www.preloved.co.uk/adverts/show/122976161/yorkie-poo-pups-for-sale,Yorkie poo,Male,3 months,at 8 weeks,,Yes,No,,,Private Seller,630.0,92 days ago,emma,,October 2010
Beautiful German Shepherd Puppies,"£2,000","Ashton Under Lyne, Greater Manchester",https://www.preloved.co.uk/adverts/show/122982003/beautiful-german-shepherd-puppies,German Shepherd,Mixed Litter,11 weeks,around the 27th of December.Puppies will leave at 8 weeks old with:•1st Vaccination •Flea and Wormed,Yes - Breed Register,No,No,1st Vaccine,Vet Check,Private Seller,366.0,79 days ago,Katy Farmer,,August 2015
GENUINE F1 YORKIEPOO PUPPIES,"£1,450","Iver, Buckinghamshire",https://www.preloved.co.uk/adverts/show/122982065/genuine-f1-yorkiepoo-puppies,Yorkiepoo,Mixed Litter,4 months,at 8 weeks,No,Yes,No,Yes,Will be given a full veterinary health check before leaving,Private Seller,303.0,79 days ago,Christina,,April 2015
Two female red sable miniature dachshunds,£900,Peterbrough,https://www.preloved.co.uk/adverts/show/123006698/two-female-red-sable-miniature-dachshunds,Miniature dachshunds,Female,9 weeks,at 8 weeks,No,Yes,No,1st vaccination,Yes,Private Seller,277.0,20 days ago,Scarlottie,,August 2022
Sprocker puppies for sale,£950,"Fareham, Hampshire",https://www.preloved.co.uk/adverts/show/122997976/sprocker-puppies-for-sale,Sprocker,Female,7 weeks,at 8 weeks,No,Yes,No,,Yes,Private Seller,218.0,45 days ago,Jemma,,March 2018
Cockerspaniel puppies Ready to Leave,£600,"Runcorn, Cheshire",https://www.preloved.co.uk/adverts/show/122997051/cockerspaniel-puppies-ready-to-leave,Cockerspaniel,Male,3 months,last boy of the Litter. Please message for information. Serious forever homes only.,No,Yes,No,Can be arranged,Yes,Private Seller,71.0,47 days ago,vict0ria,,November 2015
Dutch herder x Mali pups,£550,"Chilton, Durham",https://www.preloved.co.uk/adverts/show/123001954/dutch-herder-x-mali-pups,Dutch herder,Female,2 months,24th December Small deposit secures pup.,No,Yes,No,No,No,Private Seller,71.0,35 days ago,Lauren,,August 2023
Miniature dachshund puppies,"£1,100","Burnley, Lancashire",https://www.preloved.co.uk/adverts/show/122990814/miniature-dachshund-puppies,Miniature dachshund,Mixed Litter,9 weeks,06/01/2026,No,Yes,No,and will be microchipped when ready to leave. Deposit required to secure puppy of your choice. Ready,,Private Seller,198.0,60 days ago,Bethcalder,,August 2023
working cocker spaniel pups,£750,"Mere Brow, Preston",https://www.preloved.co.uk/adverts/show/122990786/working-cocker-spaniel-pups,cocker spaniel,Male,3 months,at 8 weeks,No,Yes,No,,Yes,Private Seller,527.0,61 days ago,michelle,,March 2010
Great Dane puppies for sale,"£1,200","Hul, East Riding Of Yorkshire",https://www.preloved.co.uk/adverts/show/122960853/great-dane-puppies-for-sale,Great Dane,Mixed Litter,4 months,around 6/11/25 Puppies will leave with first injection Microchipped Flea and wormed to date Vet chec,No,Yes,No,First injection,Yes,Private Seller,349.0,122 days ago,Claire,,June 2024
Labradoodle puppies ready now,"£1,200","Worcester, Worcestershire",https://www.preloved.co.uk/adverts/show/122969430/labradoodle-puppies-ready-now,Labradoodle,Mixed Litter,4 months,Now,No,Yes,No,All,Yes,Private Seller,385.0,105 days ago,Cazza,,June 2011
Puppy cockerpoo for sale,"£1,500","Burnham-on-crouch, Essex",https://www.preloved.co.uk/adverts/show/122981410/puppy-cockerpoo-for-sale,Cockerpoo,Female,3 months,at 8 weeks,Yes - Breed Register,Yes,No,,completed. She will leave microchipped,Private Seller,131.0,81 days ago,Danielle,,August 2019
Sprocker x Cocker Spaniel Puppies,£800,"Doncaster, Yorkshire",https://www.preloved.co.uk/adverts/show/122993696/sprocker-x-cocker-spaniel-puppies,Sprocker,Mixed Litter,10 weeks,at 8 weeks,,Yes,No,,,Private Seller,359.0,54 days ago,Fish,,November 2025
Beautiful cavalier cross chihuahua puppies,"£1,000","Wakefield, West Yorkshire",https://www.preloved.co.uk/adverts/show/122941213/beautiful-cavalier-cross-chihuahua-puppies,Cavalier King Charles spaniel x Chihuahua,Mixed Litter,9 weeks,at 8 weeks old on the 6th January,No,Yes,No,No,Yes,Private Seller,582.0,158 days ago,Super pups,,August 2020
Yorkshire terrier puppies,£995,"Blackpool, Lancashire",https://www.preloved.co.uk/adverts/show/122999753/yorkshire-terrier-puppies,Yorkshire terrier miniature,Female,3 months,at 9 weeks,No,Yes,No,Yes,Yes,Private Seller,82.0,41 days ago,patricia,,August 2008
Miniature dachshund puppies ??,"£1,000","Slough, England",https://www.preloved.co.uk/adverts/show/122999627/miniature-dachshund-puppies-,Mini dachshund,Mixed Litter,2 months,at 8 weeks,No,Yes,No,1st,,Private Seller,274.0,41 days ago,Tasha,,July 2018
Miniature dachshund puppies,"£1,000","Birmingham, West Midlands",https://www.preloved.co.uk/adverts/show/122998871/miniature-dachshund-puppies,Miniature dachshund,Mixed Litter,8 weeks,"23rd January 2026 currently 2 weeks old, mom is kc registered, unfortunately dad is not. Both mom an",No,No,No,,,Private Seller,119.0,43 days ago,Tyrone,,August 2025
Show Type Cocker Spaniel Puppy,£900,"Horley, Surrey",https://www.preloved.co.uk/adverts/show/123000788/show-type-cocker-spaniel-puppy,Cocker Spaniel,Female,3 months,Now,No,Yes,No,First vaccination,Full Health Check,Private Seller,400.0,38 days ago,Thomas55,,May 2015
Belgian Malinois Puppies,£750,"Ripley, Derbyshire",https://www.preloved.co.uk/adverts/show/122997045/belgian-malinois-puppies,Belgian Malinois,Male,4 months,Now,No,Yes,No,Yes,Yes,Private Seller,645.0,47 days ago,Andrews,,September 2022
Beautiful miniature dachshund puppies,£900,"Harlow, Essex",https://www.preloved.co.uk/adverts/show/122994202/beautiful-miniature-dachshund-puppies,Dachshund,Mixed Litter,10 weeks,at 8 weeks,Yes - Breed Register,Yes,No,1st vaccination will be done along with miro chip,All fullvet health check,Private Seller,301.0,53 days ago,Jacqueline154,,October 2021
Kc registered Whippet puppies,"£1,000","Heywood, Lancashire",https://www.preloved.co.uk/adverts/show/122992608/kc-registered-whippet-puppies,Whippet,Mixed Litter,11 weeks,at 8 weeks,Yes - Breed Register,Yes,No,,,Private Seller,295.0,56 days ago,janice,,October 2011
MASSIVE ROTTWEILER PUPPIES,"£2,000","Leicester, Leicestershire",https://www.preloved.co.uk/adverts/show/122756754/massive-rottweiler-puppies,Rottweiler,Mixed Litter,15 months,at 10 weeks,,Yes,No,Full,,Private Seller,4751.0,438 days ago,Jill Swift,,March 2021
??MALE POMCHI PUPPIES ??,"£1,150",Clacton,https://www.preloved.co.uk/adverts/show/122988467/male-pomchi-puppies-,Pomchi,Male,3 months,at 9 weeks,No,No,No,,,Private Seller,259.0,66 days ago,charlotte,,August 2024
American Bulldog X Amstaff Pups,£500,"Horsforth, West Yorkshire",https://www.preloved.co.uk/adverts/show/123002381/american-bulldog-x-amstaff-pups,American Bulldog x Amstaff,Mixed Litter,9 weeks,"at 8 weeks old.We are seeking responsible, loving homes only. These pups will thrive with owners who",No,Yes,No,Non Yet,Non Yet,Private Seller,84.0,34 days ago,Ginae_1,,December 2025
Beautiful German shepard cross puppies,£400,"Faversham, Kent",https://www.preloved.co.uk/adverts/show/122997577/beautiful-german-shepard-cross-puppies,Gsd x,Mixed Litter,4 months,Now,No,Yes,No,,,Private Seller,81.0,46 days ago,sunny,,April 2011
Ready to leave stunning cockerpoo pups,£800,"Leeds, North Yorkshire",https://www.preloved.co.uk/adverts/show/122995489/ready-to-leave-stunning-cockerpoo-pups,Cockerpoo,Female,3 months,stunning cockerpoo pups,No,Yes,No,1st vaccine,,Private Seller,281.0,50 days ago,Laura Watson,,January 2022
Basenji pups male and female ready now,"£1,200","Llanymynech, Mid Wales",https://www.preloved.co.uk/adverts/show/122784297/basenji-pups-male-and-female-ready-now,Basenji,Mixed Litter,13 months,at 8 weeks,No,Yes,No,First vaccination,Vet checked,Private Seller,1113.0,400 days ago,Hamsters,,May 2008
Last FEMALE yorkie pup for sale. Was £1250 NOW £800.,£800,"Rochdale, Lancashire",https://www.preloved.co.uk/adverts/show/122955845/last-female-yorkie-pup-for-sale-was-1250-now-800,Miniature Yorkshire Terrier,Female,4 months,at 12 weeks,No,Yes,No,Yes at 10 weeks old.,Yes,Private Seller,887.0,132 days ago,MattyAndJack,,April 2023
Jack Russell pups fully vaccinated and chipped.,£600,"Lampeter, Ceredigion",https://www.preloved.co.uk/adverts/show/123003717/jack-russell-pups-fully-vaccinated-and-chipped,Jack Russell,,,,,,,,,Filter search results by promotions,,,,,
Healthy and happy German spitz puppies,£650,"Llandrindod Wells, Powys, Powys",https://www.preloved.co.uk/adverts/show/123000853/healthy-and-happy-german-spitz-puppies,German spitz,Mixed Litter,10 weeks,at 8 weeks,No,Yes,No,Yes,Yes,Private Seller,201.0,38 days ago,Houseoftherisingsun,,January 2024
Beautiful Rottweiler X Bullmastiff puppies,£600,"Great Yarmouth, Norfolk",https://www.preloved.co.uk/adverts/show/122998124/beautiful-rottweiler-x-bullmastiff-puppies,Rottweiler X Bullmastiff,Mixed Litter,10 weeks,at 8 weeks,No,Yes,No,"and deworming.Both parents are family pets with excellent temperaments.Serious inquiries only, pleas",Will be fully vet checked.,Private Seller,412.0,44 days ago,OliviaDins29,,December 2025
?? 4 Adorable French bulldog puppies ????,£850,"Carlisle Cumbria, Cumbria",https://www.preloved.co.uk/adverts/show/122981932/-4-adorable-french-bulldog-puppies-,French bulldog,Mixed Litter,3 months,at 8 weeks,Yes - Breed Register,Yes,Yes,Yes,Yes,Private Seller,192.0,79 days ago,Ruby,,February 2022
Working golden retriever puppies available,"£2,000","Spalding, Pe126qq",https://www.preloved.co.uk/adverts/show/122958803/working-golden-retriever-puppies-available,Golden retriever,Mixed Litter,4 months,at 8 weeks,Yes - Breed Register,Yes,,1st,,Private Seller,342.0,126 days ago,Lee fox,,August 2022
Ready to for new homes now,£550,"Dilhorne, Staffordshire",https://www.preloved.co.uk/adverts/show/123003364/ready-to-for-new-homes-now,Mallinois x dutch herder,Mixed Litter,2 months,Now,No,Yes,No,No,Upto all clear,Private Seller,329.0,31 days ago,Dpb,,May 2022
Last KC Pekingese’s puppies,"£2,500","Chester, Cheshire",https://www.preloved.co.uk/adverts/show/122998449/last-kc-pekingeses-puppies,Pekingese,Male,3 months,now,Yes - Breed Register,Yes,No,First,Yes,Private Seller,166.0,44 days ago,Andrew2255,,December 2025
8 week Labrador x collie chipped and ready,£500,"Northampton, Northamptonshire",https://www.preloved.co.uk/adverts/show/123005426/8-week-labrador-x-collie-chipped-and-ready,Lab x collie,Mixed Litter,11 weeks,Now,No,Yes,No,,Yes,Private Seller,346.0,24 days ago,Sam,,October 2019
French bulldog puppies For’s sale,"£1,800","Huddersfield, West Yorkshire",https://www.preloved.co.uk/adverts/show/123001614/french-bulldog-puppies-fors-sale,French bulldog,Mixed Litter,8 weeks,at 12 weeks,Yes - Breed Register,No,No,,,Private Seller,21.0,36 days ago,sarap,,January 2015
Miniature dachshund puppies ONLY 1 LEFT,£800,"St Helens, Merseyside",https://www.preloved.co.uk/adverts/show/122976147/miniature-dachshund-puppies-only-1-left,Miniature dachshund,Mixed Litter,3 months,at 8 weeks,No,Yes,No,"and microchip and small puppy pack containing food,toy,scent blanket from mum and puppy pads. There ",Yes,Private Seller,337.0,92 days ago,Kayleigh,,May 2020
10 Mo old chocolate brown pup for home,£200,"Leek, Staffordshire",https://www.preloved.co.uk/adverts/show/122969262/10-mo-old-chocolate-brown-pup-for-home,colie,Mixed Litter,13 months,Now,No,Yes,No,all,all,Rescue,965.0,105 days ago,Sorela,,October 2021
5 Puppy French bulldog for sale,"£1,500","Walsell, West Midlands",https://www.preloved.co.uk/adverts/show/122999190/5-puppy-french-bulldog-for-sale,French bulldog,Mixed Litter,3 months,at 8 weeks,No,Yes,No,Yes they are,Yes they are,Private Seller,16.0,42 days ago,Claire2025,,December 2023
Beautiful shorkie puppies ready to go soon,£950,"Leigh, Greater Manchester",https://www.preloved.co.uk/adverts/show/123002661/beautiful-shorkie-puppies-ready-to-go-soon,Shorkie,Mixed Litter,9 weeks,at 8 weeks,No,Yes,No,Will have first vaccination,Vet health checked,Private Seller,310.0,33 days ago,Rr,,August 2025
5 week old cockapoo puppies,"£1,200","Chesterfield, Derbyshire",https://www.preloved.co.uk/adverts/show/122996337/5-week-old-cockapoo-puppies,Cockapoo,Mixed Litter,11 weeks,at 8 weeks,No,Yes,No,All vaccinations,Yes every year,Private Seller,284.0,48 days ago,Chloe,,June 2023
KC registered Golden Retriever Puppies,"£2,400","Newbridge Caerphilly, Gwent",https://www.preloved.co.uk/adverts/show/123001619/kc-registered-golden-retriever-puppies,Golden retriever,Mixed Litter,7 weeks,on the 21st January at 8 weeks old. Boys £2400Girls £2600,Yes - Breed Register,Yes,No,1st Vaccination,Yes,Private Seller,36.0,36 days ago,Lexi Adventure,,January 2018
13-Week-Old German Shepherd Bitch Puppy,"£1,500","Borrowash, Derbyshire",https://www.preloved.co.uk/adverts/show/122995518/13-week-old-german-shepherd-bitch-puppy,German Shepherd,Female,4 months,Now,Yes - Breed Register,Yes,No,Upto date,,Private Seller,46.0,50 days ago,LouiseAllen,,May 2023
A stunning litter of cockapoo puppies,"£1,250","Manchester, Lancashire",https://www.preloved.co.uk/adverts/show/122988453/a-stunning-litter-of-cockapoo-puppies,cockapoo,Mixed Litter,4 months,at 10 weeks,No,Yes,No,First vaccine,yes,Private Seller,225.0,66 days ago,vicky7260,,December 2011
Puppies for sale bordercollie springerdor x,£300,"Leicester, Leicestershire",https://www.preloved.co.uk/adverts/show/122988130/puppies-for-sale-bordercollie-springerdor-x,Bordercollie springerdor x,Mixed Litter,11 weeks,there mum at 8 weeks old,No,Yes,No,No,No,Private Seller,102.0,66 days ago,Julie bassett,,January 2011
Chunky red boxer puppies for sale,"£1,750","Chelmsford, Essex",https://www.preloved.co.uk/adverts/show/122985843/chunky-red-boxer-puppies-for-sale,Boxer,Female,3 months,at 8 weeks,No,No,No,At 8 weeks,Yes,Private Seller,338.0,71 days ago,Missysky,,April 2014
Jack Russell Terrier pups in Leicestershire.,£300,"Leicester, Leicestershire",https://www.preloved.co.uk/adverts/show/122813207/jack-russell-terrier-pups-in-leicestershire,Jack Russell,Mixed Litter,8 months,Now,No,Yes,No,none,puppy health check.,Private Seller,7986.0,352 days ago,ray,,August 2014
Kc registered cocker spaniel puppies,"£1,100","West Marton, North Yorkshire",https://www.preloved.co.uk/adverts/show/122997067/kc-registered-cocker-spaniel-puppies,Cocker spaniel,Mixed Litter,9 weeks,at 8 weeks,Yes - Breed Register,Yes,No,,,Private Seller,84.0,47 days ago,Sarahay,,December 2025
Jack Russell Puppies Ready to Go,£650,"Herne Bay, Kent",https://www.preloved.co.uk/adverts/show/122995069/jack-russell-puppies-ready-to-go,Jack Russell,Mixed Litter,3 months,Now,No,Yes,No,First,Vet check passed,Private Seller,111.0,51 days ago,Arella,,November 2025
Extra Curly Jackapoo puppies ~ Reduced,£800,"Clitheroe, Lancs",https://www.preloved.co.uk/adverts/show/122966001/extra-curly-jackapoo-puppies-reduced,Jackapoo,Mixed Litter,5 months,Now,No,Yes,No,,YES,Licensed Breeder,725.0,112 days ago,Jane,,June 2010
Husky puppies for sale ready to leave,£850,"Worksop, Nottinghamshire",https://www.preloved.co.uk/adverts/show/122976547/husky-puppies-for-sale-ready-to-leave,Husky,Mixed Litter,5 months,now.Mum is a family member and have pictures of dad.All puppies are on dry food and also toilet trai,No,Yes,No,First injection,Vet checked,Private Seller,371.0,91 days ago,chipmonk,,August 2008
Cane corso x staff puppies,£700,"Tilbury, England",https://www.preloved.co.uk/adverts/show/122976763/cane-corso-x-staff-puppies,Cane corso x staff,Mixed Litter,5 months,Now,No,Yes,No,No,Yes,Private Seller,732.0,90 days ago,Rachaelxx,,October 2019
1 sprockerpoos left both females,£800,"Malmesbury, Wiltshire",https://www.preloved.co.uk/adverts/show/123004125/1-sprockerpoos-left-both-females,Sprockerpoos,Female,6 weeks,at 8 weeks,No,No,No,,,Private Seller,173.0,29 days ago,Logan20201717,,December 2025
Belgian pups ready soon very beautiful,£795,Gainsborough,https://www.preloved.co.uk/adverts/show/122973686/belgian-pups-ready-soon-very-beautiful,Belgian sheperd,Mixed Litter,4 months,at 9 weeks,No,Yes,No,No,Yes,Private Seller,246.0,97 days ago,Doberman Dan,,July 2009
Beautiful Pomeranian puppies full pedigree,"£1,500","Ammanford, Swansea",https://www.preloved.co.uk/adverts/show/122912038/beautiful-pomeranian-puppies-full-pedigree,Pomeranian,Mixed Litter,9 months,Now,No,Yes,No,Yes both,Yes fully,Licensed Breeder,688.0,200 days ago,MRS M JONES,,January 2006
Kc registered Italian greyhound puppies,"£2,000","Romsey, Hampshire",https://www.preloved.co.uk/adverts/show/122961698/kc-registered-italian-greyhound-puppies,Italian greyhound,Mixed Litter,5 months,Now,Yes - Breed Register,Yes,No,,Yes,Private Seller,524.0,120 days ago,George,,December 2020
READY NOW French bulldog puppies REDUCED,"£1,200","Prestatyn, Denbighshire",https://www.preloved.co.uk/adverts/show/122967863/ready-now-french-bulldog-puppies-reduced,French bulldog,Mixed Litter,4 months,at 8 weeks,No,Yes,No,No,Vet check at 6 weeks,Private Seller,293.0,108 days ago,Rach,,December 2018
Dachshund puppiesfor sale,£800,"Pontefract, West Yorks",https://www.preloved.co.uk/adverts/show/122993579/dachshund-puppiesfor-sale,Dachshund,Male,11 weeks,",they are fully vaccinated, chipped & wormed to date .Mum is black & tan , dad is dapple .Both paren",No,Yes,No,Yes,Yes,Private Seller,269.0,54 days ago,sarah,,September 2013
2 Amazing Beautiful Maltese,"£2,300","Sheerness, Kent",https://www.preloved.co.uk/adverts/show/122967097/2-amazing-beautiful-maltese,Maltese,Male,4 months,at 12 weeks,Yes - Breed Register,Yes,No,1st & 2nd,Yes,Licensed Breeder,441.0,110 days ago,Keldarose,Premium,June 2021
reserve your yorkshire terrier puppies today,"£1,200",Bolton,https://www.preloved.co.uk/adverts/show/122995928/reserve-your-yorkshire-terrier-puppies-today,Yorkshire terierr,Female,9 months,at 12 weeks,,No,,,,Private Seller,42.0,49 days ago,Ksichtík,,January 2018
Shihtzu puppys 2 girls and 2 boys,£800,"Halifax, England",https://www.preloved.co.uk/adverts/show/123000861/shihtzu-puppys-2-girls-and-2-boys,Shihtzu,Mixed Litter,6 weeks,at 8 weeks,,Yes,No,Yes,Yes,Private Seller,100.0,38 days ago,Leanne,,June 2023
Kc registered Flashy sealed brindle boys,"£1,250","Yarm, North Yorkshire",https://www.preloved.co.uk/adverts/show/122958586/kc-registered-flashy-sealed-brindle-boys,Boxer,Male,6 months,Now,Yes - Breed Register,Yes,No,Yes,Yes,Licensed Breeder,296.0,126 days ago,Lovegood,,April 2011
ROTTWEILER PUPPIES. KC REGISTERED. FREE INSURANCE.,"£1,500","Doncaster, South Yorkshire",https://www.preloved.co.uk/adverts/show/123002641/rottweiler-puppies-kc-registered-free-insurance,Rottweiler,Mixed Litter,5 months,Now,Yes - Breed Register,Yes,No,Yes,Yes,Private Seller,133.0,33 days ago,Lewis311,,August 2025
4 Beautiful BIEWER TERRIERS For Sale,"£1,080","Oswestry, Shropshire",https://www.preloved.co.uk/adverts/show/122979678/4-beautiful-biewer-terriers-for-sale,Yorkshire Biewer Terrier,Mixed Litter,4 months,Now,No,Yes,No,No,Vet Checked,Private Seller,168.0,84 days ago,BOTOWA,,December 2024
"Girl GWP Pup, German wirehaired pointer","£1,000","Maryport, Cumbria",https://www.preloved.co.uk/adverts/show/122987831/girl-gwp-pup-german-wirehaired-pointer,German wirehaired pointer,Female,4 months,Now,No,Yes,No,1st,2,Private Seller,27.0,67 days ago,amy2010,,May 2010
German shepherd puppies 17 weeks old,"£1,700","Lancaster, Lancashire",https://www.preloved.co.uk/adverts/show/122953012/german-shepherd-puppies-17-weeks-old,German shepherd,Mixed Litter,6 months,at 10 weeks,No,Yes,No,are complete and just had her vet check,Health check,Private Seller,429.0,138 days ago,hsanderson,,May 2008
"Health Tested Lurcher Puppies, Two Females",£450,"High Wycombe, Bucks",https://www.preloved.co.uk/adverts/show/122967095/health-tested-lurcher-puppies-two-females,Lurcher,Mixed Litter,5 months,at 8 weeks,,Yes,No,1st and 2nd DHPP and Lepto,"Health Tested parents (see ad), vet checks for puppies. Microchips will be done on 2nd Oct.",Private Seller,1042.0,110 days ago,CanidaeKat,,December 2012
German shepherd puppies 3 boys available,£750,"Leeds, Yorkshire",https://www.preloved.co.uk/adverts/show/122974512/german-shepherd-puppies-3-boys-available,German shepherd,Mixed Litter,4 months,at 8 weeks,,Yes,No,,,Private Seller,573.0,95 days ago,Jake,,May 2019
Ready in February staff x French hybrid,£400,"South Normanton, Alfreton",https://www.preloved.co.uk/adverts/show/123004376/ready-in-february-staff-x-french-hybrid,Mix,Mixed Litter,5 weeks,at 8 weeks,No,Yes,No,No,No,Private Seller,374.0,28 days ago,Lewis,,July 2019
KC registered Dalmatian puppies last 2 left,"£1,500","Wrexham, Clwyd",https://www.preloved.co.uk/adverts/show/122984182/kc-registered-dalmatian-puppies-last-2-left,Dalmatian,Mixed Litter,2 months,"17th December and will come with5 weeks insurance,Baer hearing testedKC registered1st vaccinationVet",Yes - Breed Register,Yes,No,Yes,Baer tested,Private Seller,416.0,75 days ago,dave9,,February 2015
Adorable F1B Cavapoo Puppies Ready For Forever Homes,"£1,800","Plymouth, Devon",https://www.preloved.co.uk/adverts/show/122952466/adorable-f1b-cavapoo-puppies-ready-for-forever-homes,F1B Cavapoos,Mixed Litter,5 months,at 9 weeks,No,Yes,No,No,Yes,Private Seller,515.0,139 days ago,Chanel,,June 2013
outstanding quality pups black boy available,"£1,700","Tunbridge Wells, Kent",https://www.preloved.co.uk/adverts/show/122966748/outstanding-quality-pups-black-boy-available,Pomeranian,Mixed Litter,4 months,at 12 weeks,Yes - Breed Register,Yes,No,No,Yes,Private Seller,178.0,111 days ago,Natalie,,August 2020
German Wire Haired Pointer female puppy,"£1,800","York, North Yorkshire",https://www.preloved.co.uk/adverts/show/122982391/german-wire-haired-pointer-female-puppy,German Wire Haired Pointer,Female,6 months,Now,Yes - Breed Register,Yes,No,,,Private Seller,167.0,78 days ago,phillippa,,September 2009
"Border collie puppies 1 girl, 3 boys",£650,"Llansannan, Conwy",https://www.preloved.co.uk/adverts/show/122990483/border-collie-puppies-1-girl-3-boys,Border collie,Mixed Litter,3 months,at 8 weeks,No,Yes,No,Will be vaccinated,Yes,Private Seller,378.0,61 days ago,Elin,,July 2021
Miniature dachshund puppy tan & caramel boy,£750,"Stratford On Avon, Warwicks",https://www.preloved.co.uk/adverts/show/122982868/miniature-dachshund-puppy-tan-caramel-boy,Daushund,Male,4 months,at 8 weeks,No,Yes,No,No,Yes,Private Seller,107.0,77 days ago,astrid,,September 2004
Ready to leave beautiful shitzu puppies so fluffy,"£1,100","Crewe, Cheshire",https://www.preloved.co.uk/adverts/show/122931983/ready-to-leave-beautiful-shitzu-puppies-so-fluffy,Shitzu,Mixed Litter,4 months,beautiful shitzu puppies so fluffy,No,Yes,No,No,Yes,Private Seller,477.0,173 days ago,ivprelovedvi,,April 2008
"Stunning F1 Sprocker puppies, phonemenal heritage","£1,000",Newport,https://www.preloved.co.uk/adverts/show/122934342/stunning-f1-sprocker-puppies-phonemenal-heritage,F1 SPROCKER,Mixed Litter,6 months,at 8 weeks,No,Yes,No,"By agreement when microchipping, if requested",Yes,Private Seller,578.0,170 days ago,gracemorgan1,,August 2008
Border collie x cocker spaniel puppies,£600,"Sutton-in-ashfield, Nottinghamshire",https://www.preloved.co.uk/adverts/show/122989153/border-collie-x-cocker-spaniel-puppies,border collie x cocker spaniel,Male,3 months,at 8 weeks,No,Yes,No,,,Private Seller,130.0,64 days ago,charlie_141290,,November 2010
Dalmatian puppy 1 beautiful boy remaining reduced,"£1,000","Workington, Cumbria",https://www.preloved.co.uk/adverts/show/122981405/dalmatian-puppy-1-beautiful-boy-remaining-reduced,Dalmatian,Male,3 months,in December these 7th 200 deposit secured your puppy and rest on the day you’ll have regular videos ,No,Yes,No,Yes,Yes,Private Seller,371.0,81 days ago,Kaitlyn,,April 2022
"5 month old German Shepherd pups, 1 dog and 2 bitches left",£600,"Nr Newbury, Hampshire",https://www.preloved.co.uk/adverts/show/122992991/5-month-old-german-shepherd-pups-1-dog-and-2-bitches-left,German Shepherd,Mixed Litter,6 months,Now,No,Yes,No,,,Private Seller,33.0,56 days ago,SB,,November 2025
Belgian malinois / Rottweiler,£700,"Flint, Clwyd",https://www.preloved.co.uk/adverts/show/122990022/belgian-malinois-rottweiler,Malinois,Mixed Litter,9 weeks,new year all dogs will be fully vaccinated and microchipped and will also be health vet checked with,No,No,No,Will be up to date,Yes,Private Seller,229.0,62 days ago,flossyaw,,March 2012
Retriever x springer x collie puppy,£450,"Dorchester, Dorset",https://www.preloved.co.uk/adverts/show/122998577/retriever-x-springer-x-collie-puppy,Retriever x springer x collie,Female,3 months,now.,No,Yes,No,,,Private Seller,125.0,43 days ago,Elissa,,January 2012
9 week old parson pug pup,£600,"Porth, Rct",https://www.preloved.co.uk/adverts/show/123000615/9-week-old-parson-pug-pup,Parson pug,Female,3 months,Now,No,Yes,No,,,Private Seller,229.0,38 days ago,Flick99,,December 2025
Fox Red Labrador Puppies 2 Females left,"£1,250","Rhayader, Powys",https://www.preloved.co.uk/adverts/show/123001583/fox-red-labrador-puppies-2-females-left,Labrador,Mixed Litter,6 weeks,at 8 weeks,No,No,No,Yes,Yes,Private Seller,98.0,36 days ago,Cerys,,March 2021
6 week old puppies from working parents,"£1,000","Leominster, Herefordshire",https://www.preloved.co.uk/adverts/show/123000453/6-week-old-puppies-from-working-parents,Springer,Mixed Litter,11 weeks,at 8 weeks,No,Yes,No,and wormed.,,Private Seller,413.0,39 days ago,Harry,,October 2013
5boys 3girls left ??Stunning Litter of GSP puppies,"£1,150","Exeter, Devon",https://www.preloved.co.uk/adverts/show/122948745/5boys-3girls-left-stunning-litter-of-gsp-puppies,German shorthaired pointer,Mixed Litter,6 months,at 8 weeks,No,Yes,No,,yes,Private Seller,714.0,145 days ago,Jackie,,December 2018
Siberian Cocker Puppies – Ready to Leave 15th O,£750,Desborough,https://www.preloved.co.uk/adverts/show/122969670/siberian-cocker-puppies-ready-to-leave-15th-o,Siberian cocker,Mixed Litter,5 months,15th O,No,Yes,No,1st Vaccs,,Private Seller,834.0,104 days ago,Jade,,September 2022
FOUR BOYS LEFT ITALIAN GREYHOUND KC PUPS,"£2,000","Canterbury, Kent",https://www.preloved.co.uk/adverts/show/122995995/four-boys-left-italian-greyhound-kc-pups,Italian greyhound,Male,9 weeks,at 8 weeks,Yes - Breed Register,Yes,No,Yes,Yes,Private Seller,325.0,49 days ago,Kadee,,March 2019
9 week old microchipped dachsund puppies,"£1,200","Elgin, Scotland",https://www.preloved.co.uk/adverts/show/122994529/9-week-old-microchipped-dachsund-puppies,Dachsund,Mixed Litter,3 months,Now,No,Yes,No,,Pra clear,Private Seller,11.0,52 days ago,Elc,,May 2016
10 week old microchiped springador puppies,£650,"Corwen, Denbighshire",https://www.preloved.co.uk/adverts/show/122994000/10-week-old-microchiped-springador-puppies,Springador,Female,4 months,15th O,,,,,,Private Seller,168.0,54 days ago,sam,,February 2012
