title,price,location,url,breed,sex,age,ready_to_leave,kc_registered,microchipped,neutered,vaccinations,health_checks,seller_type,views,created,seller_name,membership_level,member_since
Scottish Deerhound puppies,"£2,200","Lockerbie, Dumfries",https://www.preloved.co.uk/adverts/show/123010667/scottish-deerhound-puppies,Scottish Deerhound,Male,10 weeks,at 12 weeks,No,Yes,No,Yes,Yes,Private Seller,179.0,10 days ago,Meganberryman,,August 2016
Jack russell boy puppy fully vaccinated and microchipped,£400,"Bordon, Hampshire",https://www.preloved.co.uk/adverts/show/123011230/jack-russell-boy-puppy-fully-vaccinated-and-microchipped,Jack Russell,Male,7 months,Now,No,Yes,No,8 and 12 weeks jabs,12 weeks check up,Private Seller,188.0,9 days ago,Kat,,September 2019
Tibetan Terrier Puppies For Sale,£950,"Newcastle Upon Tyne, Tyne And Wear",https://www.preloved.co.uk/adverts/show/123009940/tibetan-terrier-puppies-for-sale,Tibetan Terrier,Mixed Litter,5 weeks,at 9 weeks,Yes - Breed Register,Yes,No,First injection,Yes,Private Seller,192.0,12 days ago,steven milburn,,June 2018
LAST 2x Female STUNNING Sproodle x Shih Tzu pups,£700,"Warrington, Cheshire",https://www.preloved.co.uk/adverts/show/123009884/last-2x-female-stunning-sproodle-x-shih-tzu-pups,Sproodle x Shih Tzu,Mixed Litter,6 weeks,"on January 26th.£100 deposit to secure pup of your choice, we are happy to do viewings most evenings",No,Yes,No,No,,Private Seller,393.0,12 days ago,Kirsty,,March 2007
4 Beautiful Female Cocker Spanies Puppies,£750,"Alford, Lincolnshire",https://www.preloved.co.uk/adverts/show/123010816/4-beautiful-female-cocker-spanies-puppies,Cocker spaniel,Female,7 weeks,at 8 weeks,No,Yes,No,First,Yes,Private Seller,319.0,10 days ago,Sarah,,December 2023
Amazing pomsky puppies last puppy for sale,"£1,100","Gravesend, Kent",https://www.preloved.co.uk/adverts/show/123002092/amazing-pomsky-puppies-last-puppy-for-sale,Pomsky,Mixed Litter,2 months,Now,No,Yes,No,Yes,Yes,Private Seller,685.0,34 days ago,Nat,Premium,November 2022
KC Reg Dachshund Min Isabella & Tan Piebald Pups,"£1,200","Wigan, Lancashire",https://www.preloved.co.uk/adverts/show/123010173/kc-reg-dachshund-min-isabella-tan-piebald-pups,Miniature Dachshund Short Hair,Mixed Litter,9 weeks,"on the 9th January 2026.They will come fully vet checked, micro chipped with papers, wormed, weaned,",Yes - Breed Register,Yes,No,,yes,Private Seller,151.0,11 days ago,beverley.,,November 2010
French bulldog puppies for sale,"£1,500","Yatton, Somerset",https://www.preloved.co.uk/adverts/show/123007929/french-bulldog-puppies-for-sale,French bulldog,Female,2 months,Now,No,Yes,No,No,Yes,Private Seller,141.0,17 days ago,lionel,,August 2016
10 week old Newfoundland puppy,£650,"Tamworth, Staffordshire",https://www.preloved.co.uk/adverts/show/123008489/10-week-old-newfoundland-puppy,Newfoundland,Female,2 months,Now,No,Yes,No,No,No,Private Seller,533.0,15 days ago,Maplesstud,,January 2026
Gorgeous red cockers male and female,£895,"Bromborough, Cheshire",https://www.preloved.co.uk/adverts/show/123011323/gorgeous-red-cockers-male-and-female,Cocker Spaniel,Mixed Litter,4 months,Now,No,Yes,No,,,Private Seller,189.0,9 days ago,David,,June 2023
10 week old tri colour JRT bitch puppy for sale,£650,"Warminster, Wiltshire",https://www.preloved.co.uk/adverts/show/123009659/10-week-old-tri-colour-jrt-bitch-puppy-for-sale,Jack Russel Terrier,Female,10 weeks,at 9 weeks,No,Yes,No,"Distemper,Hepatitis, Parovirus,Leptospirosis",yes,Private Seller,411.0,12 days ago,chicken,,January 2012
Miniature dachshund puppies,"£1,000","Emneth, Wisbech",https://www.preloved.co.uk/adverts/show/123009565/miniature-dachshund-puppies,Miniature dachshund,Female,5 weeks,till 1st of Feb. If you’d like anymore info please do not hesitate to ask!,,Yes,No,,,Private Seller,172.0,13 days ago,Emma Simpson,,November 2022
Shihpoo puppies for sale,£875,"Boston, Lincolnshire",https://www.preloved.co.uk/adverts/show/123008017/shihpoo-puppies-for-sale,Shihpoo,Mixed Litter,6 weeks,at 9 weeks,No,Yes,No,,,Private Seller,75.0,16 days ago,Torres257,,January 2026
Maltipoo F1 puppy’s for sale,"£1,500","Tilbury, Essex",https://www.preloved.co.uk/adverts/show/123008684/maltipoo-f1-puppys-for-sale,Maltipoo,Mixed Litter,4 weeks,at 8 weeks,No,Yes,No,wormed and flea treated to date leave with a puppy pack available to view: 17th January for their fo,,Private Seller,111.0,15 days ago,SAS80,,February 2018
Four beautiful Pembroke Corgis puppies,"£1,200","Pontefract, West Yorkshire",https://www.preloved.co.uk/adverts/show/123007606/four-beautiful-pembroke-corgis-puppies,Welsh Pembroke Corgis,Mixed Litter,3 months,Now,No,Yes,No,Yes,Yes,Private Seller,138.0,17 days ago,SPC,,April 2008
